#,Pattern,Problem,Diff,Time Budget,NeetCode,Cold ✓ (date),1wk Review,3wk Review,Key Insight + Pitfall,Confidence
1,Arrays & Hashing,Contains Duplicate,Easy,~45min first / ~5min review,https://neetcode.io/problems/duplicate-integer,,,,,
2,Arrays & Hashing,Valid Anagram,Easy,~45min first / ~5min review,https://neetcode.io/problems/is-anagram,,,,,
3,Arrays & Hashing,Two Sum,Easy,~45min first / ~5min review,https://neetcode.io/problems/two-integer-sum,,,,,
4,Arrays & Hashing,Group Anagrams,Medium,~60min first / ~8min review,https://neetcode.io/problems/anagram-groups,,,,,
5,Arrays & Hashing,Top K Frequent Elements,Medium,~60min first / ~8min review,https://neetcode.io/problems/top-k-elements-in-list,,,,,
6,Arrays & Hashing,Encode and Decode Strings,Medium,~60min first / ~8min review,https://neetcode.io/problems/string-encode-and-decode,,,,,
7,Arrays & Hashing,Product of Array Except Self,Medium,~60min first / ~8min review,https://neetcode.io/problems/products-of-array-discluding-self,,,,,
8,Arrays & Hashing,Valid Sudoku,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-sudoku,,,,,
9,Arrays & Hashing,Longest Consecutive Sequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-consecutive-sequence,,,,,
10,Two Pointers,Valid Palindrome,Easy,~45min first / ~5min review,https://neetcode.io/problems/is-palindrome,,,,,
11,Two Pointers,Two Sum II Input Array Is Sorted,Medium,~60min first / ~8min review,https://neetcode.io/problems/two-integer-sum-ii,,,,,
12,Two Pointers,3Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/three-integer-sum,,,,,
13,Two Pointers,Container with Most Water,Medium,~60min first / ~8min review,https://neetcode.io/problems/max-water-container,,,,,
14,Two Pointers,Trapping Rain Water,Hard,~75min first / ~12min review,https://neetcode.io/problems/trapping-rain-water,,,,,
15,Sliding Window,Best Time to Buy and Sell Stock,Easy,~45min first / ~5min review,https://neetcode.io/problems/buy-and-sell-crypto,,,,,
16,Sliding Window,Longest Substring without Repeating Characters,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-substring-without-duplicates,,,,,
17,Sliding Window,Longest Repeating Character Replacement,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-repeating-substring-with-replacement,,,,,
